"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
06112720K0,"Máy khoan bê tông, máy khoan búa BOSCH GBH 2-24 RE",,1.0000,
06112721K0,"Máy khoan búa cầm tay BOSCH GBH 2-24 DRE",,1.0000,
06112730K0,"Máy khoan 3 chức năng BOSCH GBH 2-24 DFR",,1.0000,
06113386K0,"Máy đục bê tông BOSCH GSH 500",,1.0000,
06119111K0,"Máy khoan búa dùng pin BOSCH GBH 180-LI (không kèm pin và sạc)",,1.0000,
06119111K1,"Máy khoan búa dùng pin BOSCH GBH 180-LI BL (kèm pin và sạc)",,1.0000,
1000-199140-0,"Thanh Ray Dẫn Hướng Makita 199140-0 Chiều Dài 1000",,1.0000,
123443-0,"Cụm nhông/DHP482 - 123443-0",,1.0000,
123591-5,"Vỏ motor MT90 - 123591-5",,1.0000,
123847-6,"NẮP HỘP NHÔNG/MT964 - 123847-6",,2.0000,
123911-3,"CỤM NHÔNG/DF001D - 123911-3",,1.0000,
125485-0,"Cụm nhông - 125485-0",,2.0000,
127125-6,"CỤM NHÔNG/DDF333 - 127125-6",,1.0000,
127499-5,"BỘ HỘP NHÔNG/DHP484 - 127499-5",,1.0000,
127745-6,"CỤM NHÔNG/HP333D - 127745-6",,1.0000,
140441-9,"Đế cao su BO3710-1 Makita",,6.0000,
141025-6,"Vỏ chứa nhông - 141025-6",,2.0000,
142142-5,"VỎ MÁY/4100NH3 - 142142-5",,2.0000,
158393-0,"Cữ giữ lưỡi 4326 - 158393-0",,3.0000,
1600A001CG,"Pin 18V 2.0Ah LI-ION BOSCH",,1.0000,
1600A00B8G,"Bộ sạc pin GAL 1880 CV",,2.0000,
1600A00D6H,"Phễu chụp bụi máy khoan",,1.0000,
1600A00F6U,"Pin 12V 1.5Ah LI-ION BOSCH",,2.0000,
1600A00F6X,"Pin 12V 2.0Ah LI-ION BOSCH",,2.0000,
1600A012UV,"Pin 18V 3.0Ah LI-ION BOSCH",,1.0000,
1600A019RJ,"Sạc nhanh GAL 18V-40 (14.4V - 18V)",,2.0000,
1600A01B8X,"Sạc Pin GAL 12V-40 (10.8V – 12V)",,2.0000,
1600A01M9V,"Đầu nối hút bụi máy khoan GDE 24",,2.0000,
1607014145,"Bộ chổi than Bosch",,9.0000,
1608571048,"Đầu khoan có khóa 13mm Bosch 1608571048",,3.0000,
162279-2,"Cần gạt BO3710/BO3711 - 162279-2",,4.0000,
188342-3,"Vỏ 4327 - 188342-3",,1.0000,
194368-5,"THANH RAY TRƯỢT 1400MM MAKITA 194368-5",,1.0000,
195004-6,"Chổi than CB-350 - 195004-6",,5.0000,
195026-6,"Chổi than Makita CB-459 - 195026-6",,10.0000,
195584-2,"Sạc nhanh DC18RC - 195584-2",,2.0000,
197128-4,"Chổi than CB218- 197128-4",,5.0000,
197265-4,"Pin BL1840B (li-on,18V,4.0AH) 197265-4",,1.0000,
197393-5,"Pin BL1016 (LI-ION, 12V MAX, 1.5AH)- 197393-5",,9.0000,
197422-4,"Pin BL 1860B (Lion 18V,6.0AH) 197422-4",,2.0000,
210033-9,"Bạc đạn 696/2107F - 210033-9",,10.0000,
210044-4,"Bạc đạn 608DDW/GA5010 - 210044-4",,10.0000,
210045-2,"BẠC ĐẠN 627/GD0801C - 210045-2",,10.0000,
210102-6,"Vòng bi - 210102-6",,10.0000,
210156-3,"BẠC ĐẠN 6202ZZ/MT243 - 210156-3",,10.0000,
210206-4,"BẠC ĐẠN 606/4100NH3 - 210206-4",,9.0000,
211129-9,"Bạc đạn bi 6201DDW- 211129-9",,10.0000,
211214-8,"Vòng bi - 211214-8",,5.0000,
211247-3,"Bạc đạn 6002/DJR186 - 211247-3",,10.0000,
