"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
457128-9,"VỎ MÁY/MT964 - 457128-9",,1.0000,
457129-7,"THANH TRƯỢT CÔNG TẮC/MT964 - 457129-7",,3.0000,
513438-5,"Rotor HP1630 Makita - 513438-5",,3.0000,
513868-0,"Rotor 4100NH3 - 513868-0",,2.0000,
515613-9,"Rotor 9556HN - 515613-9",,5.0000,
515619-7,"Rotor 9553NB/9553B - 515619-7",,10.0000,
515783-4,"Rotor BO3710 - 515783-4",,2.0000,
515833-5,"Rotor MT60 - 515833-5",,3.0000,
515868-6,"Rotor MT817 - 515868-6",,2.0000,
515893-7,"Rotor MT80A/MT80B - 515893-7",,2.0000,
517648-6,"Rotor GA4030 - 517648-6",,5.0000,
5806B,"Máy cưa gỗ Makita 5806B",,2.0000,
593703-8,"Stator BO3710 - 593703-8",,2.0000,
593803-4,"Stator MT817 - 593803-4",,1.0000,
594613-2,"Stato/4100NH3 - 594613-2",,1.0000,
601083480,"Máy đo nhiệt độ BOSCH GIS 500",,2.0000,
619380-9,"Rô to /DDF482 - 619380-9",,1.0000,
620411-9,"BO MẠCH/4327 - 620411-9",,1.0000,
621708-9,"Stator 9556HN - 621708-9",,2.0000,
621818-2,"Stato MT964-621818-2",,1.0000,
626603-8,"Stator HP1630 - 626603-8",,1.0000,
628386-6,"STATO/EK6101 - 628386-6",,1.0000,
629395-8,"CỤM MOTOR/DDF333 - 629395-8",,1.0000,
629834-8,"Motor DDF453SHE - 629834-8",,2.0000,
632A24-0,"Công tắc DF453D - 632A24-0",,2.0000,
632F22-4,"Ổ CHỔI THAN/DDF482 - 632F22-4",,1.0000,
632J77-3,"Công tắc DTD110 632J77-3",,3.0000,
633658-6,"Stator 4327 - 633658-6",,1.0000,
633879-0,"STATO GA4031 - 633879-0",,1.0000,
633983-5,"Stato MT80A-633983-5",,2.0000,
633988-5,"Stato MT60-633988-5",,1.0000,
635113-4,"Stator GA4030 - 635113-4",,2.0000,
639382-9,"Stator MT90/MT91A - 639382-9",,2.0000,
6412,"Máy khoan Makita 6412",,3.0000,
6413,"Máy khoan Makita 6413",,2.0000,
643566-3,"Ổ chổi than Makita - 643566-3",,4.0000,
650239-1,"Công tắc - 650239-1",,3.0000,
650555-1,"Công tắc MT817 - 650555-1",,2.0000,
650586-0,"Công tắc HP1630 - 650586-0",,3.0000,
650621-4,"Công tắc 9553NB - 650621-4",,2.0000,
650695-5,"Công tắc HP1630 - 650695-5",,1.0000,
650753-7,"CÔNG TẮC MÁY THỔI/DDF482 - 650753-7",,1.0000,
651434-6,"Công tắc MT90/MT91A - 651434-6",,2.0000,
691015-4,"Dây điện - 691015-4",,9.0000,
691055-2,"Dây điện - 691055-2",,2.0000,
691284-7,"Dây điện 0.75 MT955 - 691284-7",,5.0000,
763161-4,"Đầu khoan MT811 - 763161-4",,2.0000,
763232-7,"Đầu khoan S13 - 763232-7",,2.0000,
763238-5,"ĐẦU KHOAN KHÔNG KHÓA 10/DF332D - 763238-5",,2.0000,
766004-9,"Đầu khoan DDF453- 766004-9",,2.0000,
766014-6,"Đầu khoan 10li Makita - 766014-6",,2.0000,
766022-7,"ĐẦU KHOAN S10/MT80A - 766022-7",,3.0000,
766023-5,"ĐẦU KHOAN S13/MT80B - 766023-5",,3.0000,
766027-7,"Đầu khoan/DHP482/ĐF482-766027-7",,2.0000,
832319-7,"Túi đựng dụng cụ Makita 832319-7",,15.0000,
911111-5,"Ốc - 911111-5",,20.0000,
912222-9,"Ốc - 912222-9",,5.0000,
9403,"Máy chà nhám băng Makita 9403",,1.0000,
9553B,"Máy mài Makita 9553B",,1.0000,
9553NB,"Máy mài Makita 9553NB",,4.0000,
9556HN,"Máy mài Makita 9556HN",,2.0000,
9558HN,"Máy mài Makita 9558HN",,3.0000,
A-84981,"Đá mài 1t5 Makita - A-84981",,149.0000,
B-17164,"Lưỡi cắt gỗ 2t3x24r Makita - B-17164",,8.0000,
B-55924,"Mũi khoan bê tông hợp kim sds plus 7x110 (B-55924)",,16.0000,
B-55952,"Mũi khoan bê tông hợp kim sds plus 8x210 (B-55952)",,23.0000,
B-55968,"Mũi khoan bê tông hợp kim sds plus 8x260 (B-55968)",,25.0000,
B-55996,"Mũi khoan bê tông hợp kim10x26-B-55996",,24.0000,
B-56007,"Mũi khoan bê tông hợp kim sds plus 10x310 (B-56007)",,17.0000,
B-56029,"Mũi khoan bê tông hợp kim sds plus 12x260 (B-56029)",,17.0000,
B-56079,"Mũi khoan bê tông tổng hợp K (B-56079)",,20.0000,
B-56085,"Mũi khoan bê tông tổng hợp K (B-56085)",,21.0000,
B-56091,"Mũi khoan bê tông hợp kim sds plus 14x350 (B-56091)",,25.0000,
B-56122,"Mũi khoan bê tông hợp kim sds plus 16x210(B-56122)",,16.0000,
B-56138,"Mũi khoan bê tông hợp kim sds plus 16x310 (B-56138)",,25.0000,
B-57130,"Thước kéo 3.5M B-57130",,9.0000,
B-57146,"Thước kéo 5.5M B-57146",,11.0000,
B-80329,"Chổi than Makita CB153A - B-80329",,10.0000,
B-80341,"Chổi than Makita CB203A - B-80341",,10.0000,
B-80357,"Chổi than Makita CB204A - B-80357",,5.0000,
B-80379,"Chổi than Makita CB303A - B-80379",,10.0000,
B-80422,"Chổi than Makita CB419A - B-80422",,8.0000,
BO3710,"Máy chà nhám Makita BO3710",,4.0000,
BO5041,"Máy chà nhám quỹ đạo Makita BO5041",,2.0000,
CG100DZB,"Súng bắn silicon dùng pin (12V Max) CG100DZB",,1.0000,
CLX224S,"Bộ sản phẩm (TD110D+DF333D)(12V MAX) - CLX224S",,6.0000,
CLX228S,"BỘ SẢN PHẨM (HP333D+TD110D)(12V MAX) - CLX228S",,8.0000,
D-00066,"Mũi gài 6x160 Makita - D-00066",,10.0000,
D-00131,"Mũi gài 8x160 Makita - D-00131",,9.0000,
D-08713,"Mũi đục nhọn 14x250 Makita - D-08713",,11.0000,
D-09341,"Đầu tỉa mép thẳng mũi khoan kép D-09341",,1.0000,
D-09385,"Mũi vát góc Makita D-09385",,1.0000,
D-09472,"Mũi cắt mép phẳng ổ bi D-09472",,1.0000,
D-09494,"Mũi khoan cạnh Makita D-09494",,1.0000,
D-09569,"Mũi khoan tròn Makita D-09569",,1.0000,
D-30106,"Hộp mũi khoan sắt, gỗ Makita (5 Mũi) - D-30106",,40.0000,
D-30477,"Bộ mũi khoan 5 mũi (5li,6li,8li,10li,12li) - D-30477",,9.0000,
D-33679,"Mũi vặn vít 2 đầu Makita - D-33679",,89.0000,
D-44258,"Lưỡi cắt ướt 1t Makita - D-44258",,8.0000,
D-44286,"Lưỡi cắt kim cương - D-44286",,1.0000,
D-62088-5,"Đá cắt 14INCH 355MM - D-62088-5",,15.0000,
D-65888,"Giây chà nhám Makita D-65888 (10 cái)",,10.0000,
D-65903,"Giấy chà nhám 8 lỗ D-65903 (10 cái)",,10.0000,
D25032K-B1,"Máy khoan búa D25032K-B1",,2.0000,
DCAA03YD54,"Máy cưa xích xăng DCA",,1.0000,
DCAA1013J,"Súng bắn đinh DCA A1013J",,1.0000,
DCAADJF15EK,"Máy cưa kiếm, máy cưa cầm tay dùng pin 12V DCA ADJF15EK",,1.0000,
DCAADJZ13L,"Máy khoan pin, máy khoan cầm tay DCA ADJZ13",,1.0000,
DCAADPB10E,"Máy siết bu lông, bắn bulong pin 12v DCA ADPB10",,1.0000,
DCAADPJ12AK,"Súng bắn silicon cầm tay dùng pin 12v DCA ADPJ12",,9.0000,
DCAAF30,"Súng bắn đinh DCA",,2.0000,
DCAAFF06-21,"Máy cân mực laser, 3 tia xanh DCA AFF06-21",,4.0000,
DCAAFF06-41,"Máy cân mực laser, 5 tia xanh DCA AFF06-41",,5.0000,
DCAAJG04-355,"Máy cắt sắt, dụng cụ cắt 2000W DCA AJG04-355",,3.0000,
DCAAJJ32,"Dụng cụ cắt tôn, máy cắt tole 620W DCA AJJ32",,1.0000,
DCAAJX03-255,"Máy cắt nhôm DCA",,2.0000,
DCAAJX06-255,"Máy cắt nhôm DCA 1650W",,1.0000,
DCAAJZ02-6A,"Máy khoan điện, máy khoan cầm tay 230w DCA AJZ02-6A",,4.0000,
DCAAJZ10A,"Máy khoan điện, máy khoan cầm tay 300W DCA AJZ10A",,2.0000,
DCAAJZ16A,"Máy khoan, máy khoan cầm tay 800W DCA AJZ16A",,2.0000,
DCAAMB82,"Máy bào cầm tay, dụng cụ điện 500w DCA AMB82",,1.0000,
DCAAMP03-6,"Máy Cắt Mép DCA",,2.0000,
DCAAMQ65,"Máy cưa gỗ cầm tay, cưa lọng cầm tay, máy cưa cầm tay DCA AMQ65",,2.0000,
DCAAP625,"Súng bắn đinh hơi DCA AP625",,2.0000,
DCAAPB20C,"Máy siết buloong DCA",,3.0000,
DCAAPB22C,"Máy vặn siết bu lông, bắn bulong 620W DCA APB22C",,1.0000,
DCAAQB2000,"Máy Thổi Nhiệt DCA",,1.0000,
DCAAQE02-1824,"Máy nén khí không dầu DCA 24L 1500W",,1.0000,
DCAAQE1608,"Máy nén khí không dầu 550W DCA AQE1608",,1.0000,
DCAAQE2524F,"Máy nén khí DCA 24L 1500W",,1.0000,
DCAAQU160,"Máy trộn sơn, khuấy sơn cầm tay 800W DCA AQU160",,1.0000,
DCAASB185,"Máy chà nhám, máy chà nhám rung DCA ASB185",,1.0000,
DCAASM02-125B,"Máy Mài Góc DCA",,3.0000,
DCAASM03-100A,"Máy mài góc, máy mài cầm tay 710w DCA ASM03-100A",,2.0000,
DCAASM10-100H,"Máy mài góc, máy mài cầm tay DCA ASM10-100H",,4.0000,
DCAASM150A,"Máy mài góc DCA",,2.0000,
DCAAST610,"Máy chà nhám băng 1200W DCA AST610",,1.0000,
DCAAVC60,"Máy hút bụi DCA",,1.0000,
DCAAZC04-30,"Máy khoan bê tông, máy khoan cầm tay 960W DCA AZC04-30",,5.0000,
DCAAZC05-26B,"Máy đục (khoan) DCA",,3.0000,
DCAAZG6S,"Máy đục bê tông cầm tay 900W DCA AZG6S",,2.0000,
DCAAZJ02-13,"Máy khoan điện, máy khoan cầm tay 500W DCA AZJ02-13",,6.0000,
DCAAZJ16,"Máy khoan búa DCA",,2.0000,
DCAFFBL18-02,"Pin lithium vuông 18V/4.0Ah DCA",,3.0000,
DCAFFBL18-07,"Pin lithium 18V/2.0Ah DCA",,3.0000,
DCAFFBL2040,"Pin lithium 20V/4.0 Ah DCA",,3.0000,
DCAFFCL12-6,"Sạc lithium vuông 12V DCA",,3.0000,
DCAFFCL18-04,"Sạc lithium 18V DCA",,3.0000,
DCAFFCL20-01,"Sạc lithium 20V DCA",,3.0000,
DCALB1220-1,"Pin Lithium tròn 12V/2.0Ah DCA",,2.0000,
DCALB1220-2,"Pin lithium vuông 12V/2.0Ah DCA",,3.0000,
DCB112-B1,"Bộ sạc pin 10.8- 18V 2A, Model: DCB112-B1",,2.0000,
DCB118-KR,"BỘ SẠC PIN ĐA NĂNG DEWALT 18V/54V, MODEL DCB118-KR",,1.0000,
DCB184-B1,"Pin PIN DEWALT DCB184-B1 18V-5.0AH DCB184-B1",,1.0000,
DCB185-B1,"Pin ĐiệN THẾ : 18V,DUNG LƯỢNG : 1.3AH DCB185-B1",,5.0000,
DCD708N-KR,"Máy khoan vặn vít dùng pin, Model: DCD708N-KR",,1.0000,
DCD771C2-B1,"Máy khoan vặn vít pin 18V - 1.3Ah - DCD771C2-B1",,1.0000,
DCD776C2-B1,"Máy khoan vặn vít động lực pin 18V - 1.3Ah - DCD776C2-B1",,2.0000,
DCD791M2-B1,"Máy khoan vặn vít pin 18V - 4.0Ah - DCD791M2-B1",,1.0000,
DCD796N-KR,"Máy khoan vặn vít động lực pin DCD796N-KR",,1.0000,
DCD996N-KR,"Máy khoan vặn vít động lực pin DCD996N-KR",,2.0000,
DCF809N-KR,"Máy vặn vít pin DCF809N-KR",,1.0000,
DCF887N-KR,"Máy vặn vít dùng Pin 18V DCF887N-KR",,1.0000,
DCF894N-KR,"Máy vặn bu lông động lực pin 18V DCF894N-KR",,1.0000,
DCH133N-KR,"Máy khoan bê tông pin DCH133N-KR",,1.0000,
DCH273B,"Máy khoan cầm tay 18V Dewalt - DCH273B",,1.0000,
DF001DW,"Bộ máy vặn vít dùng pin 3,6V DF001DW",,1.0000,
DF333DZ,"Máy khoan và vặn vít dùng pin Makita DF333DZ (Chưa Pin & Sạc )",,1.0000,
DHP453SFX8,"Máy khoan búa và vặn vít dùng pin (18V) - DHP453SFX8",,5.0000,
DHP482SFX6,"MÁY KHOAN BÚA, VẶN VÍT DÙNG PIN(101 CÁI MŨI KHOAN)(18V) - DHP482SFX6",,1.0000,
DNTC1,"Dụng Cụ Cắt Thạch Cao, Cắt Gỗ (kèm thước đo) DNTC1",,3.0000,
DNTC2,"Dụng Cụ Nâng Gạch Lớn DNTC2",,27.0000,
DNTC3,"Dụng Cụ Nâng Gạch Nhỏ DNTC3",,1.0000,
DNTCBK2MD4F18Y,"BK 2M đại 4F8*18Y",,1.0000,
DNTCBK2MN1F18Y,"BK 2M nhỏ 1F2*18Y",,14.0000,
DNTCBK2MT2F18Y,"BK 2M trung 2F4*18Y",,4.0000,
DNTCBKDN10Y,"BK Nano điện nhỏ TND*10Y",,10.0000,
DNTCBKDT20Y,"BK Nano điện trung TND*20Y",,1.0000,
DNTCBKGN1F25Y,"BK giấy nhỏ 1F2*25Y",,5.0000,
DNTCBKXV10Y,"BK xốp vàng 2F4*10Y",,1.0000,
DRT50RFX8,"MÁY ĐÁNH CẠNH PIN MAKITA DRT50RFX8",,1.0000,
DTD156SF,"MÁY VẶN VÍT DÙNG PIN(18V) - DTD156SF",,1.0000,
DTW300RTJ,"MÁY SIẾT BU LÔNG DÙNG PIN(12.7MM/BL)(18V) - DTW300RTJ",,1.0000,
DTW700RTJ,"MÁY SIẾT BU LÔNG DÙNG PIN(12.7MM/BL)(18V) - DTW700RTJ",,1.0000,
DUC254Z,"Máy cưa xích dùng pin 18V-DUC254Z",,1.0000,
DW801-B1,"Máy mài góc DW801-B1",,2.0000,
DW810B-B1,"Máy mài góc DW810B-B1",,3.0000,
DWD014-B1,"Máy khoan sắt DWD014-B1",,1.0000,
DWE4118-B1,"Máy mài góc có điều tốc DWE4118-B1",,2.0000,
E-03442,"Nam Châm Tăng Lực Hút",,6.0000,
F016800360,"Dây phun áp lực cao 6 mét",,2.0000,
F016800509,"Đầu phun xịt có bình xà phòng Bosch",,5.0000,
F016800581,"Đầu phun 90° (Aquatak)",,3.0000,
GA4030,"Máy mài Makita GA4030",,5.0000,
GA4031,"Máy mài Makita GA4031",,2.0000,
GA5010,"Máy mài Makita GA5010",,2.0000,
GA7020,"Máy mài 1t8 Makita GA7020-2200w",,2.0000,
HP0300,"Máy Khoan Búa Và Vặn Vít (10MM) HP0300",,2.0000,
HPWR15028,"Máy xịt rửa hiệu Ingco",,1.0000,
HR2300,"MÁY KHOAN ĐỘNG LỰC MAKITA (CHUÔI GÀISDS-PLUS/23MM) HR2300",,1.0000,
JM23000123,"Chổi than Makita CB500 - JM23000123",,5.0000,
JM23100179,"Công tắc - JM23100179",,1.0000,
JM23200018,"Chốt la vét - JM23200018",,1.0000,
JM23200023,"MIẾNG ĐỆM/LS1018L - JM23200023",,1.0000,
K04C-015234,"Máy khoan vặn vít dùng pin Li-ion 12V WX104 - Worx Orange",,3.0000,
K04C-015235,"Máy khoan vặn vít dùng pin Li-ion 12V WX104.2 (SET) - Worx Orange",,2.0000,
K04C-015255,"Máy vặn vít dùng pin 4V WX255 - Worx Orange",,2.0000,
K07A-022350,"K07A-022350 - Máy cắt sắt 2400W 355mm WU763 - Worx Green",,1.0000,
K07A-022374,"Máy cắt/cưa sắt cầm tay220W 355mm KU760 Kress",,2.0000,
K07A-022375,"Máy cắt/cưa gạch cầm tay1400W KU076 Kress",,2.0000,
K08K-015223,"K08K-015223 - Máy khoan búa 800W 26mm WU340S - Worx Green",,3.0000,
K08K-015228,"Máy khoan động lực 600W 13mm WX317.3 (đầu măng ranh - SET) - Worx Orange",,2.0000,
K08K-022352,"K08K-022352 - Máy khoan động lực dùng pin Li-ion 12V WU131 - Worx Green",,3.0000,
K08K-022360,"Máy khoan động lực cầm tay 650W 13mm KU310 Kress",,1.0000,
K08K-022368,"Máy khoan búa 2 chức năng 1100W 26mm KU332 Kress",,2.0000,
K08M-015242,"Máy mài góc 720W 100mm WU800S (công tắc cạnh) - Worx Green",,2.0000,
K08M-015243,"Máy mài góc 750W 100mm WU800X (công tắc đuôi) - Worx Green",,5.0000,
K08M-015244,"K08M-015244 - Máy mài góc 750W 100mm WU810 (công tắc đuôi) - Worx Green",,3.0000,
K08M-015245,"K08M-015245 - Máy mài góc 750W 100mm WU811 (công tắc cạnh) - Worx Green",,1.0000,
K08M-015246,"K08M-015246 - Máy mài góc 900W 100mm WU900 (công tắc đuôi) - Worx Green",,3.0000,
K08M-015247,"K08M-015247 - Máy mài góc 900W 100mm WU900S (công tắc cạnh) - Worx Green",,2.0000,
KCB10,"Ke cân bằng 1.0mm",,55.0000,
KCB15,"Ke cân bằng 1.5mm",,33.0000,
KCB20,"Ke cân bằng 2.0mm",,43.0000,
KCT10,"Ke chữ thập 1.0mm",,275.0000,
KCT15,"Ke chữ thập 1.5mm",,251.0000,
KCT20,"Ke chữ thập 2.0mm",,166.0000,
KCT30,"Ke chữ thập 3.0mm",,200.0000,
KimCam,"Kìm cam",,75.0000,
L03A-015201,"Bàn Thao Tác Đa Chức Năng WX051 - Worx Orange",,2.0000,
LC1230,"Máy Cắt Sắt Makita LC1230",,1.0000,
LS1018L,"Máy cắt nhôm Makita LS1018L",,1.0000,
LS1030N,"Máy cắt nhôm Makita LS1030N",,1.0000,
M01A-005445,"M01A-005445 - Máy hàn que dùng điện ARC 250D (TP1)",,2.0000,
M01A-005458,"M01A-005458 - Máy hàn ARC 250i - 220V Jasic (TP2)",,2.0000,
M01A-005459,"M01A-005459 - Máy hàn ARC 200 Jasic xách tay R04 (TP1)",,1.0000,
M01A-008771,"M01A-008771 - Máy hàn que ZX7-250E Jasic (TP1)",,1.0000,
M01B-011176,"M01B-011176 - Máy hàn ARES 150 Jasic(TP2)",,2.0000,
M01M-004539,"M01M-004539 - Máy hàn mig NB250E đầu liền Jasic",,1.0000,
M01M-007329,"M01M-007329 - Máy hàn mig 250 đầu liền 380V Jasic J04 (TP2)",,1.0000,
M01M-025028,"M01M-025028 - Máy hàn mig NB270D J346 đầu liền Jasic",,1.0000,
M01T-015535,"M01T-015535 - Máy hàn Tig 200S
W221 - Jasic (TP2)",,1.0000,
M01T-015537,"M01T-015537 - Máy hàn Tig 200
W223 - Jasic (TP2)",,1.0000,
M01T-015539,"M01T-015539 - Máy hàn Tig 250A
W227 - Jasic (TP2)",,1.0000,
M01T-022880,"M01T-022880 - Máy hàn tig nguội
TIG 250S W228 (TP2) - Jasic",,1.0000,
M01X-005570,"M01X-005570 - Máy hàn que dùng điện ZX7-200 PRO (TP1)",,1.0000,
M03B-005602,"M03B-005602 - Máy hàn que dùng điện Maxi-180 Weldcom ( TP1)",,3.0000,
M03M-023528,"M03M-023528 - Máy hàn bán tự động Multimag V2500 - Weldcom (TP7)",,1.0000,
M03M-028783,"Máy hàn bán tự động Multimag V1200 - Weldcom",,3.0000,
M0600B,"MÁY KHOAN(10MM) - M0600B",,12.0000,
M0800B,"MÁY KHOAN BÚA(10MM) - M0800B",,8.0000,
M0801B,"MÁY KHOAN BÚA(16MM) - M0801B 500W",,4.0000,
M0900B,"MÁY MÀI GÓC(100MM) - M0900B",,3.0000,
M0910B,"MÁY MÀI GÓC(100MM) - M0910B",,6.0000,
M16A-015625,"Máy cưa lọng đa năng dùng pin Li-ion 20V WX550 - Worx Orange",,2.0000,
M1901B,"Máy bào (82MM) Makita - M1901B",,6.0000,
M2401B,"MÁY CẮT SẮT(355MM) - M2401B",,1.0000,
M2402B,"Máy Cắt Sắt Makita M2402B",,1.0000,
M2403B,"Máy cắt sắt bàn Makita M2403B",,1.0000,
M24Q-004769,"M24Q-004769 - Máy hàn que dùng điện ARES 120 (kèm hộp nhựa)",,4.0000,
M29C-015208,"Máy chà nhám rung 240W WU646 - Worx Green",,4.0000,
M29C-015209,"Máy chà nhám rung 250W 1/3"""" WX641 - Worx Orange",,5.0000,
M29C-015210,"Máy chà nhám rung 260W WU639 - Worx Green",,4.0000,
M29P-015623,"Máy phay/soi 650W WU619 - Worx Green",,3.0000,
M3701B,"MÁY ĐÁNH CẠNH(1/4"") - M3701B",,3.0000,
M38A-010015,"M38A-010015 - Máy hàn que Zarc 2500 - Ziziweld",,2.0000,
M38A-010083,"M38A-010083 - Máy hàn que Zarc 3200 - Ziziweld (TP2)",,2.0000,
M38A-021188,"M38A-021188 - Máy hàn que dùng điện Zarc 4000E - Ziziweld (TP1)",,2.0000,
M6000B,"Máy khoan (10MM) Makita - M6000B",,1.0000,
M6201B,"MÁY KHOAN(13MM) - M6201B",,1.0000,
M6500B,"MÁY KHOAN TỐC ĐỘ CAO(6.5MM) - M6500B",,2.0000,
M8100KX2B,"Máy khoan búa (16MM) (26 cái phụ kiện) Makita - M8100KX2B",,1.0000,
M8103KX2B,"Máy khoan búa (13MM) (26 cái phụ kiện) Makita - M8103KX2B",,2.0000,
M9002B,"MÁY MÀI GÓC(125MM/1050W/CÔNG",,2.0000,
M9200B,"Máy chà nhám rung M9200B",,3.0000,
M9202B,"Máy chà nhám quỹ đạo tròn Makita M9202B",,1.0000,
M9400B,"MÁY CHÀ NHÁM BĂNG(100MMX610MM) - M9400B",,1.0000,
M9503B,"MÁY MÀI GÓC(125MM) - M9503B",,3.0000,
M9506B,"MÁY MÀI GÓC(100MM) - M9506B",,2.0000,
MT372,"Máy soi Maktec MT372",,1.0000,
MT431,"Máy cưa lọng Maktec MT431",,3.0000,
N5900B,"Máy cưa gỗ Makita N5900B",,4.0000,
NCBD,"Nêm cân bằng Đỏ",,9.0000,
NCBV,"Nêm cân bằng Vàng",,20.0000,
P-67885,"Lưỡi cắt gỗ 2t5x40r Makita - P-67885",,3.0000,
P-67957,"Lưỡi cưa hợp kim1t8x40r Makita - P-67957",,1.0000,
P-68018,"Lưỡi cắt nhôm 2t5x120r Makita - P-68018",,1.0000,
P01L-004311,"P01L-004311 - Bép cắt P80 1.5 - Black wolf",,50.0000,
P02A-004448,"P02A-004448 - Bép hàn CO2 M6x25x0.8 E-Cu - Black wolf",,64.0000,
P02A-004450,"P02A-004450 - Bép hàn CO2 M6x25x1.0 E-Cu - Black wolf",,23.0000,
P02B-004456,"P02B-004456 - Bép hàn CO2 M6x28x0.8 E-Cu - Black wolf",,37.0000,
P02B-004458,"P02B-004458 - Bép hàn CO2 M6x28x1.0 E-Cu - Black wolf",,49.0000,
P02C-004464,"P02C-004464 - Bép hàn CO2 M6x45x0.8 E-Cu - Black wolf",,38.0000,
P02C-004466,"P02C-004466 - Bép hàn CO2 M6x45x1.0 E-Cu - Black wolf",,50.0000,
P02C-004467,"P02C-004467 - Bép hàn CO2 M6x45x1.2 E-Cu - Black wolf",,40.0000,
P09A-004392,"P09A-004392 - Chia khí 24KD - Black wolf",,10.0000,
P12A-004480,"P12A-004480 - Chụp khí 15AK - Black wolf",,3.0000,
P12C-004398,"P12C-004398 - Chụp khí 24KD - Black wolf",,8.0000,
P16B-125223,"P16B-125223 - Dây hàn CO2 Gemini 70S phi 1.0 Kim Tín - 15Kg/cuộn",,3.0000,
P16V-008740,"P16V-008740 - Dây hàn lõi thuốc E71T-GS 1.0 mm, (5kg/ cuộn) - Weldcom",,3.0000,
P16V-022877,"P16V-022877 - Dây hàn lõi thuốc E71T-GS 1.0 mm, (1kg/ cuộn) - Weldcom",,3.0000,
P24G-004313,"P24G-004313 - Điện cực P80 -Black wolf",,60.0000,
P30G-001375,"P30G-001375 - Que volfram đỏ WT20 1.6mmx175mm",,8.0000,
P30G-001376,"P30G-001376 - Que volfram đỏ WT20 2.4mmx175mm",,8.0000,
P33A-001247,"P33A-001247 - Kìm hàn 500A xanh (50 cái/thùng)",,10.0000,
P34B-120719,"P34B-120719 - Kẹp mát 300A (100 cái/thùng)",,2.0000,
P37A-026996,"Kính hàn tự động W202A",,3.0000,
P38K-025204,"Kính Hàn RVV 2x0.3mm2x5m dùng cho máy hàn TIG lạnh - Jassic P38K-025204",,2.0000,
P55A-008311,"P55A-008311 - Sứ số 4 (10N50) - Weldcom",,7.0000,
P55A-008320,"P55A-008320 - Sứ số 6 (10N48) - Weldcom",,10.0000,
P61V-028839,"Dây hàn E71T-GS 0.8mm (1kg/cuộn) P61V-028839",,3.0000,
PBCA12001,"Dây cáp sạc bình 200AMP Total",,3.0000,
PMST02,"Kệ trưng bày Total",,16.0000,
PW1450TD-B1,"Máy phun xịt nước 1400W Black Decker",,3.0000,
QTMKTO,"Móc Khóa Tolsen",,14.0000,
QTNBHTO,"Mũ Bảo Hiểm Tolsen",,8.0000,
RT0700C,"Máy đánh cạnh 710W 6li Makita RT0700C",,1.0000,
SC16-B1,"Máy cưa đĩa 1600W, Model: SC16-B1",,1.0000,
SCH20C2K-B1,"Máy khoan động lực pin 18V Li- ion 1.3Ah, Model: SCH20C2K-B1",,2.0000,
SCHI121S2FK-B1,"Máy khoan cầm tay 12V-1.5Ah Stanley, Model: SCHI121S2FK-B1",,2.0000,
SDH600K-B1,"Máy khoan động lực SDH600K-B1",,1.0000,
SJ45-B1,"Máy cưa lọng 450W, Model: SJ45-B1",,1.0000,
SK320,"Thang nhôm rút đơn Sumika SK320",,3.0000,
SK380,"Thang nhôm rút đơn Sumika SK380",,4.0000,
SK440,"Thang nhôm rút đơn Sumika SK440",,3.0000,
SK440D,"Thang rút đôi sumika SK440D new",,2.0000,
SK604,"Thang nhôm gấp đa năng 4 đoạn - 16 bậc Sumika SK604",,2.0000,
SK605,"Thang gấp đa năng 4 đoạn SK605",,1.0000,
SK640D,"Thang nhôm rút đôi Sumika SK640D new",,4.0000,
SK760D,"Thang nhôm rút đôi Sumika SK760D new",,3.0000,
SKM604,"Thang nhôm gấp đa năng Sumika SKM604",,4.0000,
SKS380D,"Thang rút đôi Sumika 3.8m SKS380D",,3.0000,
SKS440,"Thang rút đơn 4.4m Sumika SKS440",,1.0000,
SKS500D,"Thang rút đôi Sumika SKS500D",,1.0000,
SKS560D,"Thang rút đôi 5.6m Sumika SKS560D",,2.0000,
STA002101,"XE 3 NGĂN TC1.A00.21 .01",,1.0000,
STA002102,"XE 3 NGĂN + 2 NGĂN KÉO TC1.A00.21 .02",,1.0000,
STA0021031,"XE 3 NGĂN + 3 NGĂN KÉO + MẶT BÀN PHỤ-TC1.A00.21.03.1",,1.0000,
STA002110,"XE 3 NGĂN + 1 NGĂN KÉO CAO TC1.A00.21 .10",,1.0000,
STA003000,"XE 3 NGĂN TC1.A00.30.00",,3.0000,
STA004000,"XE 4 NGĂN TC1.A00.40 .00",,1.0000,
STA012101,"XE 3 NGĂN A01.21.01",,1.0000,
STA012102,"XE 3 NGĂN + 2 NGĂN KÉO + TẤM TREO TC1.A01.21 .02",,1.0000,
STA101012,"BÀN MINI 2 NGĂN KÉO THẤP 1 NGĂN KÉO CAO -A10.10.12",,1.0000,
STA102002,"BÀN MINI A10.20 .02",,1.0000,
STA111004,"BÀN MINI A11.10 .04",,1.0000,
STA111101,"BÀN MINI 1 NGĂN KÉO CÓ TẤM TREO TC2.A11.11.01",,1.0000,
STB001110,"XE 2 NGĂN TC1.B00.11 .01",,1.0000,
STB002101,"XE 3 NGĂN TC1.B00.21 .01",,1.0000,
STB003000,"XE 3 NGĂN TC1.B00.30.00",,1.0000,
STB003101,"XE 4 NGĂN TC1.B00.31 .01",,1.0000,
