"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
1,Tien,,-63.0000,
261184101,"ÁO khoác bóng chày","Size M",-41.0000,
261184101,"ÁO khoác bóng chày","Size L",-14.0000,
3,Cua,,-19.0000,
